,Time Step,Episode,Step in Episode,Shield Loss
0,200,9,8,0.5857684108946059
1,400,17,37,0.35430513454808127
2,600,24,46,0.4064234372642305
3,800,30,32,0.43253156542778015
4,1000,41,4,0.278888961341646
5,1200,46,45,0.16685244060224957
6,1400,54,8,0.2742733859353595
7,1600,63,8,0.3384283777740267
8,1800,69,21,0.2634848705596394
9,2000,75,38,0.333606933719582
10,2200,82,17,0.3092482679420047
11,2400,86,67,0.2792741636435191
12,2600,88,14,0.2533706951472494
13,2800,91,8,0.31650877164469826
14,3000,93,75,0.2621920764446259
15,3200,97,1,0.20778464666671223
16,3400,98,1,0.17752585957447686
17,3600,99,31,0.10896864141234093
18,3800,101,30,0.23296388768487508
19,4000,102,87,0.2559905505842633
20,4200,103,117,0.21698698633246952
21,4400,104,182,0.21396226762897438
22,4600,106,27,0.16353603336546155
23,4800,107,27,0.22150858069459597
24,5000,108,85,0.2779399631751908
25,5200,109,85,0.17861350849270818
26,5400,110,85,0.17857464502255124
27,5600,111,88,0.17323494222429062
28,5800,112,88,0.117298374325037
29,6000,114,12,0.06329068226170623
30,6200,115,54,0.1815729535288281
31,6400,116,91,0.19172045605050192
32,6600,117,98,0.23423458834489183
33,6800,118,98,0.2086709219548437
34,7000,119,98,0.13498262117306392
35,7200,120,98,0.18302246655027074
36,7400,121,98,0.142281215886275
37,7600,122,130,0.0685488749191993
38,7800,123,144,0.1320686362683773
39,8000,124,144,0.10027015589488049
40,8200,125,151,0.10217082620494895
41,8400,126,151,0.2255968715581629
42,8600,128,13,0.22813725852304034
43,8800,129,13,0.12876835639278092
44,9000,130,13,0.17230452766848936
45,9200,131,13,0.05727862002483258
46,9400,132,13,0.11699656460744638
47,9600,133,73,0.2973768449491925
48,9800,134,73,0.07593145577443972
49,10000,135,73,0.1950711376965046
50,10200,136,148,0.06148788678045902
51,10400,137,163,0.05368249276652933
52,10600,139,63,0.14336426481604578
53,10800,140,148,0.09107255614880057
54,11000,141,148,0.17228032040099303
55,11200,142,163,0.10240755697919261
56,11400,143,163,0.18159267521566813
57,11600,144,163,0.12237857783006297
58,11800,146,43,0.19038459481671452
59,12000,147,43,0.0948785472040375
60,12200,148,43,0.14889000878772804
61,12400,149,43,0.07598468314390629
62,12600,150,178,0.11314649929602942
63,12800,151,178,0.07828633349078397
64,13000,153,65,0.10991511400789022
65,13200,154,79,0.14935992720226446
66,13400,155,79,0.08133264232504492
67,13600,156,173,0.10551801482215524
68,13800,157,173,0.09045844558212494
69,14000,159,34,0.1380847303610709
70,14200,160,34,0.16053740262157387
71,14400,161,34,0.06454173486369351
72,14600,162,34,0.1492818537944307
73,14800,163,77,0.11844597462978627
74,15000,164,116,0.03703635524078789
